Match Link,Date,Match Type
https://stats.espncricinfo.com/ci/engine/match/1122282.html,10 Feb 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1122283.html,13 Feb 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1122284.html,16 Feb 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1119546.html,12 Jul 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1119547.html,14 Jul 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1119548.html,17 Jul 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1157754.html,21 Oct 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1157755.html,24 Oct 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1157756.html,27 Oct 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1157757.html,29 Oct 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1157758.html,1 Nov 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1144997.html,12 Jan 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1144998.html,15 Jan 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1144999.html,18 Jan 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1153691.html,23 Jan 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1153692.html,26 Jan 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1153693.html,28 Jan 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1168242.html,2 Mar 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1168243.html,5 Mar 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1168244.html,8 Mar 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1168245.html,10 Mar 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1168246.html,13 Mar 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1144490.html,5 Jun 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1144496.html,9 Jun 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1144504.html,16 Jun 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1144510.html,22 Jun 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1144516.html,27 Jun 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1144520.html,30 Jun 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1144522.html,2 Jul 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1144526.html,6 Jul 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1144528.html,9 Jul 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1188624.html,8 Aug 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1188625.html,11 Aug 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1188626.html,14 Aug 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1187021.html,15 Dec 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1187022.html,18 Dec 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1187023.html,22 Dec 2019,ODI
https://stats.espncricinfo.com/ci/engine/match/1187027.html,14 Jan 2020,ODI
https://stats.espncricinfo.com/ci/engine/match/1187028.html,17 Jan 2020,ODI
https://stats.espncricinfo.com/ci/engine/match/1187029.html,19 Jan 2020,ODI
https://stats.espncricinfo.com/ci/engine/match/1187682.html,5 Feb 2020,ODI
https://stats.espncricinfo.com/ci/engine/match/1187683.html,8 Feb 2020,ODI
https://stats.espncricinfo.com/ci/engine/match/1187684.html,11 Feb 2020,ODI
https://stats.espncricinfo.com/ci/engine/match/1223955.html,27 Nov 2020,ODI
https://stats.espncricinfo.com/ci/engine/match/1223956.html,29 Nov 2020,ODI
https://stats.espncricinfo.com/ci/engine/match/1223957.html,2 Dec 2020,ODI
https://stats.espncricinfo.com/ci/engine/match/1243393.html,23 Mar 2021,ODI
https://stats.espncricinfo.com/ci/engine/match/1243394.html,26 Mar 2021,ODI
https://stats.espncricinfo.com/ci/engine/match/1243395.html,28 Mar 2021,ODI
